线路编号, 上行途径站点, 下行途径站点
26,桃源村总站、桃源村、龙珠四路、龙井路口、欧洲城东、香山西街路口、白石洲西、白石洲③、世界之窗①、何香凝美术馆、锦绣中华①、侨城东地铁站、园博园①、竹子林①、深航大厦①、喜年中心、泰然九路、下沙①、福田体育公园、沙嘴路口、金地花园、金地一路、仁爱医院、新洲村、妇幼保健院、益田村、益田花园西、绒花路口西②、椰风路口、保税区海关、国花路口、福民公安小区、福民新村、高训大厦、联合广场、皇岗口岸,皇岗口岸、联合广场、高训大厦、福民新村、国花路口、保税区海关、椰风道、绒花路口东②、益田花园西①、益田村、妇幼保健院、新洲村、仁爱医院、金地一路、金地花园、上沙村②、天安数码城、深航大厦①、竹子林①、园博园①、侨城东地铁站、何香凝美术馆①、世界之窗①、白石洲③、白石洲西、香山西街路口、欧洲城东、龙井路口、龙珠四路、桃源村、桃源村总站
27,草埔地铁站总站、草埔地铁站⑧、独树村②、洪湖公园②、田贝①、螺岭、罗湖区委、冶金大厦、黄贝岭地铁站③、黄贝岭、罗湖体育馆①、广岭、西岭下①、鹏基工业区、鹏兴花园六期、聚宝莲塘路口、莲塘街道办、梧桐山新居、长岭、长岭东公交场站,长岭东公交场站、长岭沟、罗湖公安分局、梧桐山新居、莲塘街道办、鹏兴实验学校南、鹏基工业区①、西岭下①、广岭小区、罗湖体委、黄贝岭、黄贝岭地铁站②、冶金大厦、罗湖区委、螺岭、田贝①、洪湖公园②、独树村③、草埔地铁站①、草埔地铁站总站
29,草埔吓屋村、绿景山庄、华港新村、理想新城、戒毒所、布心山庄、金稻田路口、翠园中学东晓校区、东湖路、景亿山庄、彩世界家园、水库、水库新村②、明珠学校、爱国大厦、罗湖区委、京鹏大厦、湖贝地铁站、门诊部①、人民桥、地王大厦、红岭南路①、滨江新村①、上步南天桥①、滨河总站,滨河总站、爱华市场、新城市广场、上步小学、埔尾路、深圳书城、人民桥、门诊部①、湖贝地铁站、京鹏大厦、罗湖区委、爱国大厦、明珠学校、水库新村、水库、东湖宾馆、彩世界家园、景亿山庄、东湖路、翠园中学东晓校区、金稻田路口、布心山庄、戒毒所、理想新城、华港新村、绿景山庄、草埔吓屋村
M132,松坪山总站、英伦名苑、白石洲③、世界之窗①、何香凝美术馆、锦绣中华①、侨城东地铁站、深圳人才园①、深航大厦①、深南香蜜立交②、特区报社①、投资大厦②、市民广场西、海关综合大楼、上海宾馆、兴华宾馆西、市总工会、荔园小学、计生中心、八卦二路、旭飞花园、笋岗工艺城、罗湖人才市场、人才大市场、梨园路东、田心村、笋岗村牌坊、田贝四路、田贝地铁站、水贝总站,水贝总站、翠北小学、田贝四路、笋岗村牌坊、田心村、梨园路东、人才大市场、罗湖人才市场、笋岗工艺城、旭飞花园、八卦二路、计生中心、荔园小学、市总工会、兴华宾馆西、上海宾馆东、上海宾馆西③、海关综合大楼、广电大厦②、特区报社①、深南香蜜立交②、深航大厦①、深圳人才园、侨城东地铁站、何香凝美术馆①、世界之窗①、白石洲③、英伦名苑、北环铜鼓天桥、松坪山总站
34,下沙总站、下沙②、福田体育公园、福田实验学校①、新洲花园、石厦学校、福田区委、皇岗村、福田保健院、皇岗中学、会展中心东、福华三路口、大中华国际广场、市民中心东、少年宫东、关山月美术馆①、莲花中学、中级法院、福田党校、丰泽湖山庄总站,丰泽湖山庄总站、民乐地铁站、福田党校、中级法院、关山月美术馆①、少年宫东、市民中心东、大中华国际广场、福华三路口、皇岗中学、福田保健院、皇岗村、福田区委、石厦学校、新洲花园、福田实验学校①、福田体育公园、上沙、下沙②、下沙总站
36,南头火车西站、阳光棕榈园、大新村、大新地铁站、桃园南新路口、市六医院、南山区委、深圳大学、深大北门②、深大地铁站、中兴通讯①、创维大厦、深南科技立交北、科发路、深南科苑立交北、科苑北、科苑北环立交、孙逸仙心血管医院、朗山路中、松坪村、松坪学校小学部、茶光①、茶光②、西丽社区②、西丽法庭②、西丽劳力市场、丽山路南、桃源康复中心、桃源街道办、丽山路北、动物园、动物园总站,动物园总站、动物园、丽山路北、桃源街道办、哈工大园区、平山一路路口、平山村南、红花岭、西丽劳力市场、西丽法庭②、西丽社区②、茶光②、茶光①、松坪学校小学部、松坪村、朗山路中、孙逸仙心血管医院、科苑北环立交②、科苑立交南、科苑北、科发路、深南科技立交北、科技园②、深大北门②、深圳大学、南山区委、市六医院、桃园南新路口、大新地铁站、大新村、阳光棕榈园、南头火车西站
37,茶光路总站、茶光石鼓路口、西丽派出所、石鼓花园、留仙洞地铁站、深职院西宿舍区、中兴人才公寓东、第二高级中学、TCL国际E城、同乐村、同乐学校、中山园、南山农批市场、玉泉南山路口、玉泉艺园路口、麒麟花园、豪方现代豪园、深圳大学、桂庙新村、海雅百货、佳嘉豪苑、北师大附小、后海新村、海月花园、半岛花园、湾厦村委、永乐新村、东角头、蛇口新街、南山妇幼保健院、蛇口戏院、公园南路、南海玫瑰园、潜龙湾、海上世界公交接驳站,海上世界公交接驳站、潜龙湾、南海玫瑰园、公园南路、蛇口戏院、南山妇幼保健院、蛇口新街、东角头、永乐新村、湾厦村委、半岛花园、海月花园、后海新村、北师大附小、佳嘉豪苑、海雅百货、桂庙新村、深圳大学、豪方现代豪园、麒麟花园、玉泉艺园路口、玉泉南山路口、中山公园东门、南山农批市场、中山园、同乐学校、同乐村、TCL国际E城、第二高级中学、中兴人才公寓东、深职院西校区、留仙洞地铁站、石鼓花园、西丽派出所、茶光石鼓路口、茶光路总站
38,香梅北总站、福田外语学校西、福田外语学校东、景蜜村、景田北、监控中心、景新花园②、莲花山西②、莲花山公园、儿童医院、市民中心、市民中心东、岗厦地铁站、福华新村、公汽大楼、中大八院、中医院、华强南、滨河华强天桥、上步中学①、上步南天桥、滨江新村①、鹿丹村、金威大厦、罗湖小学②、人民南地铁站、火车站,火车站、人民南地铁站、罗湖小学②、金威大厦、鹿丹村、滨江新村①、上步南天桥①、上步中学①、滨河华强天桥、中医院、中大八院、公汽大楼、福华新村、岗厦地铁站、大中华国际广场、市民中心东、市民中心、儿童医院、莲花山公园①、莲花山西②、景新花园②、监控中心、景田北、景蜜村、福田外语学校东、福田外语学校西、香梅北总站
41,桃源村总站、桃源村东、深云村、侨香村、北环香蜜立交、福田外语学校西、科技中学、妇儿大厦、景龙小学、鲁班大厦、莲花山西②、莲花山公园、中心书城北、少年宫东、市民中心东、大中华国际广场、福华三路口、会展中心、皇庭广场总站,皇庭广场总站、大中华国际广场、市民中心东、少年宫东、中心书城北、莲花山公园①、莲花山西②、鲁班大厦①、景龙小学、妇儿大厦、科技中学、宏浩花园、福田外语学校西、北环香梅北天桥、北环香蜜立交、北环香蜜立交西、侨香村、深云村南、桃源村东、桃源村总站
42,世界之窗地铁接驳站、白石洲③、大冲②、科技园②、深大北门②、荔香公园、新安古城、星海名城、大新小学、大新村、南山残联、鼎太风华、南山村西、太子山庄、前海沿湖路口、青青世界、深大附中、南山花园、前海兴海路口、十二号路、前海湾花园南、月亮湾总站,月亮湾总站、前海湾花园南、十二号路、前海兴海路口、南山花园、深大附中、青青世界、前海沿湖路口、太子山庄、南山村西、鼎太风华、南山残联、大新村、大新小学、星海名城、新安古城、荔香公园、深大北门②、科技园②、大冲②、白石洲③、世界之窗地铁接驳站
43,民治民塘路总站、高级中学北校区、南贤广场、东泉新村、彩悦大厦、长岭陂地铁站、南山智园北、南方科技大学、塘朗小学、塘朗村口、学苑丽水路口、丽水路南、平山一路路口、哈工大园区、桃源康复中心、红花岭、珠光北路、桃源文体中心、珠光村②、宝珠花园、龙井北路、龙井工业区、光前村、军休二所、新车管所、龙井路口、欧洲城东、香山西街路口、白石洲西、白石洲③、世界之窗地铁公交接驳站,世界之窗地铁公交接驳站、白石洲③、白石洲西、香山西街路口、欧洲城东、新车管所、军休二所、光前村、龙井工业区、龙井北路、宝珠花园、珠光村②、桃源文体中心、珠光北路、丽山路南、桃源康复中心、哈工大园区、平山一路路口、丽水路南、学苑丽水路口、塘朗村口、中科院研究院、南方科技大学、南山智园北、长岭陂地铁站、龙华绿廊公园、民治民塘路总站
44,石厦南总站、石厦南、市文化创意园、新洲村、沙尾、上沙村②、天安数码城、香蜜红荔立交、市委党校、北环香蜜立交、北环香梅北天桥、深圳石油大厦、广中医深圳医院、下梅林市场、梅林一村、梅林二村、梅林三村、梅林三村东、上梅林村、上梅林市场、福田二医院、上梅林公交总站,上梅林公交总站、福田二医院、上梅林市场、梅林三村东、梅林三村、梅林二村、梅林一村①、下梅林市场②、广中医深圳医院、北环香梅北天桥、北环香蜜立交、市委党校、香蜜红荔立交、天安数码城、上沙村、沙尾、新洲村、市文化创意园、石厦南、石厦南总站
45,丰泽湖山庄总站、民乐地铁站、翰岭院、档案中心、万科大厦、中康公园、梅林阁、梅林三村、梅林二村、下梅林市场②、景鹏大厦、景新花园①、科技中学、宏浩花园、景田沃尔玛、特发小区、枫丹雅苑、金地网球中心、翠海花园②、经济犯罪侦查局、鸿新花园①、警校、深职院华侨城校区、园博园西、金海燕花园、港大医院、欢乐海岸、白石路中、瑞河耶纳北门、百纳广场、中信红树湾、世纪村、沙河东路口、大冲②、深大地铁站、中兴通讯②、科技园公交总站,科技园公交总站、中兴通讯②、高科技中心、大冲②、沙河东路口、世纪村、中信红树湾、百纳广场、瑞河耶纳北门、白石路中、欢乐海岸、港大医院、金海燕花园、园博园西、深职院华侨城校区、警校、园博园北门、鸿新花园、经济犯罪侦查局、翠海花园、金地网球中心、枫丹雅苑、特发小区、景田沃尔玛、科技中学、景新花园①、景鹏大厦、下梅林市场、梅林一村、梅林二村、梅林三村、梅林阁、中康公园、万科大厦、档案中心、丰泽湖山庄总站
49,王京坑村、大磡安居苑、王京坑路口、大磡综合市场、大磡小学、麒麟山疗养院、麒麟山庄接待处、资本市场学院东、资本市场学院、动物园、丽山路北、桃源街道办、桃源康复中心、红花岭、珠光北路、桃源文体中心、珠光村②、宝珠花园、龙井北路、龙井工业区、光前村、军休二所、新车管所、龙井路口、欧洲城东、大沙河公园、北环铜鼓天桥、清华信息港、科苑立交南、科苑北、深南科苑立交北、深大地铁站、中兴通讯②、高新公寓、高新公寓南、沙河信息园、中信红树湾、海滨实验小学、红树西岸、红树湾南地铁站、深湾地铁站、欢乐海岸、港大医院、福田交通枢纽,福田交通枢纽、港大医院、欢乐海岸、深湾地铁站、红树湾南地铁站、红树西岸、海滨实验小学、中信红树湾、沙河信息园、高新公寓、中兴通讯②、高科技中心、深南科苑立交北、科苑北、清华信息港、北环铜鼓天桥、大沙河公园、欧洲城东、新车管所、军休二所、光前村、龙井工业区、龙井北路、宝珠花园、珠光村②、桃源文体中心、珠光北路、丽山路南、桃源康复中心、桃源街道办、丽山路北、动物园、资本市场学院、资本市场学院东、麒麟山庄接待处、麒麟山疗养院、大磡小学、大磡综合市场、王京坑路口、大磡安居苑、王京坑村
52,东昌总站、布心市场、彩世界家园、水库、水库新村②、怡景花园、怡景地铁站①、黄贝岭、滨江新村①、上步南天桥①、上步中学①、滨河华强天桥、赤尾天桥、岗边村①、福滨新村①、联合广场、高级技校、福民新村、国花路口、椰风路口、福源花园二期、保税区四号门、福田保税区总站,福田保税区总站、三号隧道口、红树绿洲、福源花园、椰风路口、国花路口、福民公安小区、福民新村、高级技校、联合广场、福滨新村①、岗边村①、赤尾天桥、滨河华强天桥、上步中学①、黄贝岭、怡景地铁站①、怡景花园、水库新村、水库、东湖宾馆、彩世界家园、布心市场、东昌总站
57,长岭东公交场站、罗湖公安分局、莲塘①、聚宝路口、西岭下①、罗湖体育馆①、怡景地铁站②、荷花市场、华丽环岛、木头龙、翠竹苑、翠竹万家、康宁医院、田贝四路、笋岗村牌坊、田心村、梨园路东、梨园路、人才大市场、梅园路①、笋岗艺展中心、红岭泥岗立交、红岗西村、武警医院①、清水河、清水河总站,清水河总站、清水河、武警医院②、红岗西村、笋岗艺展中心、梅园路①、人才大市场、梨园路、梨园路东、田心村、笋岗村牌坊、田贝四路、田贝地铁站、康宁医院、翠竹万家、翠竹苑、木头龙、华丽环岛、荷花市场、怡景地铁站②、罗湖体育馆①、广岭、西岭下①、聚宝路口、莲塘、长岭、长岭东公交场站
58,南头火车西站、阳光棕榈园、大新村、大新地铁站、桃园南新路口、市六医院、市六医院东、南航公司、荔园大厦、后海立交、滨海之窗、滨海科苑立交、深圳湾体育中心、海滨实验小学、石洲中路、石洲北路、沙河东路口、白石洲西、香山西街路口、欧洲城东、龙井路口、龙珠四路、桃源村、桃源村东、侨香村、北环香蜜立交、北环香梅北天桥、深圳石油大厦、广中医深圳医院、景鹏大厦、北大医院②、莲花北村①、彩田村①、公交大厦、莲花一村、笔架山公园、市二医院①、体育馆西、武警医院②、清水河、清水河仓库、青湖山庄、章輋村、德兴花园、钱排村、德福花园、莲花山庄、东升学校、金沙花园、又一村花园、大靓市场、翠枫实验学校、翠枫豪园、翠枫豪园总站,翠枫豪园总站、翠枫豪园、翠枫实验学校、大靓市场、又一村花园、金沙花园、东升学校、莲花山庄、德福花园、钱排村、德兴花园、章輋村、青湖山庄、清水河仓库、清水河、武警医院①、红岗西村、泥岗村牌坊、体育馆西、市二医院①、笔架山公园、莲花一村、公交大厦、彩田村①、莲花北村①、北大医院②、景鹏大厦、广中医深圳医院、北环香梅北天桥、北环香蜜立交、北环香蜜立交西、侨香村、桃源村东、桃源村、龙珠四路、龙井路口、欧洲城东、香山西街路口、白石洲西、沙河东路口、石洲北路、石洲中路、海滨实验小学、深圳湾体育中心、滨海之窗、后海立交、荔园大厦、南航公司、市六医院东、市六医院、桃园南新路口、大新地铁站、大新村、阳光棕榈园、南头火车西站
M559,沙湾公交场站、彩世界家园、景亿山庄、东湖路、翠园中学东晓校区、东昌北、太白路中、松泉公寓、翠竹大厦、田贝四路、田贝新村、洪湖沃尔玛、深圳中学、晒布路、东门②、门诊部②、人民桥、深圳书城、红岭南路①、滨江新村①、上步南天桥①、上步中学①、滨河华强天桥、赤尾地铁站、岗边村①、福滨新村①、联合广场、皇岗村北、会展中心南、福田实验学校①、福田体育公园、天安数码城、招商银行大厦①、福田交通枢纽公交场站,福田交通枢纽公交场站、深圳风湿病医院、东海花园、香蜜红荔立交、天安数码城、上沙村、沙嘴路口、福田实验学校①、会展中心南、皇岗村北、联合广场、福滨新村①、岗边村①、赤尾地铁站、滨河华强天桥、上步中学①、上步南天桥、滨江新村①、红岭南路①、深圳书城、人民桥、门诊部②、东门②、东门中②、儿童公园①、洪湖沃尔玛、田贝新村、田贝四路、翠竹大厦、松泉公寓、太白路中、东昌北、翠园中学东晓校区、东湖路、景亿山庄、彩世界家园、沙湾公交场站
60,龙悦居公交总站、龙悦居二期、龙悦居四期、白石龙幼儿园、惠鑫公寓①、民乐地铁站②、翰岭院、档案中心、万科大厦、福田二医院、上梅林市场、梅林三村东、梅林三村、梅林二村、下梅林市场②、景鹏大厦、莲花山西②、莲花山公园、儿童医院、市民中心、市民中心东、大中华国际广场、福华三路口、皇岗中学、福民地铁站、福强路口、福田水围村、益田花园西、绒花路口西①、福源花园二期、保税区四号门、福田保税区总站（新）,福田保税区总站（新）、三号隧道口、红树绿洲、福源花园、绒花路口东①、益田花园西①、益田花园、福田水围村、福强路口、福民地铁站、皇岗中学、福华三路口、大中华国际广场、市民中心东、市民中心、儿童医院、莲花山公园①、莲花山西②、商报社、景鹏大厦、下梅林市场、梅林一村、梅林二村、梅林三村、梅林三村东、上梅林村、上梅林市场、福田二医院、万科大厦、第二高级技工学校、福田党校、民乐地铁站②、惠鑫公寓①、汇龙苑、白石龙幼儿园、龙悦居、龙悦居公交总站
